flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
632,FRA,TXL,DLY,XXXXXXX,08:45,09:45,,,,,
634,FRA,TXL,DLY,XXXXXXX,10:00,11:00,,,,,
636,FRA,TXL,DLY,XXXXXXX,10:40,11:40,,,,,
640,FRA,TXL,DLY,XXXXXXX,12:00,13:00,,,,,
642,FRA,TXL,DLY,XXXXXXX,15:00,14:50,,,,,
646,FRA,TXL,DLY,XXXXXXX,15:05,16:05,,,,,
648,FRA,TXL,x6,XXXXX-X,16:05,17:05,1984-07-23 00:00:00,1984-08-30 00:00:00,,,
650,FRA,TXL,DLY,XXXXXXX,17:05,18:05,,,,,
652,FRA,TXL,x6,XXXXX-X,18:05,19:05,1984-07-23 00:00:00,1984-08-30 00:00:00,,,
656,FRA,TXL,DLY,XXXXXXX,19:05,20:05,,,,,
658,FRA,TXL,DLY,XXXXXXX,21:35,21:35,,,,,
66,FRA,DEL,236,-XX--X-,12:40,00:55,1984-08-04 00:00:00,1984-09-05 00:00:00,,,
66,FRA,DEL,36,--X--X-,12:40,00:55,,,1984-08-02 00:00:00,1984-09-07 00:00:00,
66,FRA,DXB,14,X--X---,12:40,20:50,,,,,
66,FRA,KHI,257,-X--X-X,12:40,23:20,1984-07-03 00:00:00,1984-07-31 00:00:00,,,
66,FRA,KHI,57,----X-X,12:40,23:20,,,1984-07-02 00:00:00,1984-08-21 00:00:00,
121,FRA,LHR,DLY,XXXXXXX,14:00,03:35,,,,,
103,FRA,LHR,DLY,XXXXXXX,17:45,06:15,1984-05-30 00:00:00,,,,
67,FRA,JFK,DLY,XXXXXXX,08:00,12:00,,,,,
73,FRA,JFK,DLY,XXXXXXX,12:00,15:40,,,,,
103,FRA,JFK,DLY,XXXXXXX,17:45,21:30,1984-05-30 00:00:00,,,,
208,FRE,JFK,DLY,XXXXXXX,16:55,19:25,1984-06-01 00:00:00,,,,
90,GEN,IST,DLY,XXXXXXX,12:20,16:15,,,,,
95,GEN,JFK,DLY,XXXXXXX,09:40,03:05,,,,,
91,GEN,ZRH,DLY,XXXXXXX,09:40,10:20,,,,,No Local Traffic On Above Flight
21,GUA,MEX,DLY,XXXXXXX,05:40,07:25,,,,,
404,GUA,MIA,DLY,XXXXXXX,08:00,12:25,,,,,
600,HAM,TXL,x67,XXXXX--,06:35,07:15,,,1984-07-21 00:00:00,1984-08-30 00:00:00,
602,HAM,TXL,DLY,XXXXXXX,08:00,08:40,,,,,
606,HAM,TXL,DLY,XXXXXXX,11:05,11:45,,,,,
102,HAM,TXL,DLY,XXXXXXX,12:00,14:00,,,,,
610,HAM,TXL,DLY,XXXXXXX,14:30,15:10,,,,,
612,HAM,TXL,DLY,XXXXXXX,16:30,17:10,,,,,
614,HAM,TXL,DLY,XXXXXXX,18:35,19:15,,,,,
616,HAM,TXL,x6,XXXXX-X,20:30,21:10,,,,,
101,HAM,LHR,DLY,XXXXXXX,09:00,09:30,,,,,
1,HAM,LHR,DLY,XXXXXXX,11:30,12:00,1984-05-30 00:00:00,,,,
948,BDL,JFK,DLY,XXXXXXX,07:15,08:00,,,,,
914,BDL,JFK,DLY,XXXXXXX,11:50,14:00,,,,,
916,BDL,JFK,DLY,XXXXXXX,15:40,16:30,,,,,
6,HKG,SFO,DLY,XXXXXXX,12:45,10:00,,,,,
9,HKG,SIN,DLY,XXXXXXX,20:55,12:20,,,,,
22,HKG,NRT,DLY,XXXXXXX,11:55,16:50,,,,,
