flight_number,origin,destination,frequency,days,departure_time,arrival_time,effective_date,discontinued_date,suspension_start,suspension_end,notes
381,MCO,MIA,DLY,XXXXXXX,12:30,13:15,,,,,
383,MCO,MIA,DLY,XXXXXXX,13:30,14:15,,,,,
385,MCO,MIA,DLY,XXXXXXX,14:30,15:15,,,,,
387,MCO,MIA,DLY,XXXXXXX,15:30,16:15,,,,,
98,MCO,MIA,DLY,XXXXXXX,16:30,17:15,,,,,
391,MCO,MIA,DLY,XXXXXXX,17:30,18:15,,,,,
393,MCO,MIA,DLY,XXXXXXX,18:30,19:15,,,,,
395,MCO,MIA,DLY,XXXXXXX,19:30,20:15,,,,,
397,MCO,MIA,DLY,XXXXXXX,20:30,21:14,,,,,
399,MCO,MIA,DLY,XXXXXXX,21:30,22:15,,,,,
